cod;nome;perÃ­odo;de-jovens-por-armas-de-fogo;de-mulheres-por-armas-de-fogo;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens;homens-nao-negros;homens-negros;homens;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo;homicídios
1076;BRA;1980;;;;35.97;;;;;;;;2.26;;;5.13;11.69
1076;BRA;1981;;;;38.51;;;;;;;;2.44;;;5.33;12.56
1076;BRA;1982;;;;37.53;;;;;;;;2.41;;;5.1;12.57
1076;BRA;1983;;;;41.7;;;;;;;;2.67;;;5.07;13.77
1076;BRA;1984;;;;48.89;;;;;;;;2.67;;;6.16;15.32
1076;BRA;1985;;;;49.65;;;;;;;;2.66;;;6.34;15.0
1076;BRA;1986;;;;51.42;;;;;;;;2.65;;;6.56;15.26
1076;BRA;1987;;;;56.99;;;;;;;;2.8;;;7.84;16.89
1076;BRA;1988;;;;55.94;;;;;;;;2.88;;;7.71;16.78
1076;BRA;1989;18.78;1.16;18.0;70.59;5.46;37.62;;;37.68;;;3.27;;;9.51;20.3
1076;BRA;1990;22.66;1.52;21.7;77.63;5.79;41.27;;;41.29;;;3.55;;;11.51;22.22
1076;BRA;1991;20.77;1.52;20.1;70.83;5.75;37.9;;;38.59;;;3.67;;;10.73;20.94
1076;BRA;1992;18.51;1.33;18.7;63.91;4.8;34.06;;;35.57;;;3.19;;;9.94;19.21
1076;BRA;1993;21.95;1.49;21.1;68.26;5.14;36.32;;;37.33;;;3.42;;;11.22;20.2
1076;BRA;1994;24.28;1.68;23.1;74.26;5.52;39.47;;;39.19;;;3.65;;;12.29;21.23
1076;BRA;1995;27.88;2.02;26.8;81.22;6.43;43.36;;;43.9;;;4.22;;;14.32;23.84
1076;BRA;1996;28.21;2.3;27.2;87.64;7.51;47.37;;;46.74;;;4.66;;;14.63;24.78
1076;BRA;1997;30.53;2.19;28.7;102.71;7.4;53.19;;;59.36;;;5.0;;;15.31;25.39
1076;BRA;1998;32.23;2.13;29.9;97.94;7.23;52.31;;;49.58;;;4.34;;;15.87;25.94
1076;BRA;1999;33.6;2.13;31.0;93.37;6.78;50.17;;;48.1;;;4.21;;;16.41;26.2
1076;BRA;2000;37.32;2.32;33.45;95.02;6.79;51.33;37.54;57.7;48.34;3.7;4.26;4.29;19.93;30.75;18.58;27.35
1076;BRA;2001;39.91;2.35;35.83;98.27;7.13;53.14;38.6;60.48;50.53;3.53;4.44;4.35;20.31;32.13;19.38;27.86
1076;BRA;2002;40.95;2.29;36.26;102.63;6.98;55.26;38.45;63.4;51.87;3.61;4.34;4.31;20.26;33.66;19.56;28.53
1076;BRA;2003;42.86;2.32;37.94;105.66;7.17;56.89;39.31;64.49;53.09;3.62;4.43;4.33;20.66;34.26;20.42;29.14
1076;BRA;2004;40.66;2.22;35.42;99.5;6.83;53.61;34.89;60.29;49.67;3.42;4.16;4.15;18.43;31.94;18.83;26.94
1076;BRA;2005;39.41;2.16;34.2;96.49;6.48;51.93;32.28;59.44;48.19;3.33;4.27;4.16;17.16;31.53;18.14;26.13
1076;BRA;2006;40.35;2.2;35.35;97.35;6.79;52.51;32.26;61.36;49.14;3.31;4.55;4.26;17.12;32.68;18.7;26.61
1076;BRA;2007;39.42;2.08;34.26;94.33;6.45;50.82;29.13;60.77;47.31;3.04;4.33;3.95;15.45;32.41;18.56;26.2
1076;BRA;2008;41.09;2.12;35.42;99.05;6.72;53.35;29.93;63.96;49.11;3.17;4.62;4.17;15.9;33.96;18.82;26.72
1076;BRA;2009;41.88;2.24;35.92;100.05;7.08;54.03;30.17;64.93;49.82;3.28;4.87;4.36;16.06;34.58;19.12;27.18
1076;BRA;2010;41.77;2.22;35.75;100.73;7.58;54.62;28.32;66.97;50.14;3.22;5.19;4.53;15.11;35.74;19.29;27.8
1076;BRA;2011;41.38;2.26;35.29;98.71;7.41;53.52;27.95;66.3;49.4;3.05;5.33;4.53;14.82;35.46;19.1;27.45
1076;BRA;2012;45.9;2.31;38.29;108.91;7.8;58.87;29.75;69.16;53.04;3.19;5.51;4.69;15.76;37.03;20.66;29.41
1076;BRA;2013;46.33;2.28;38.26;109.7;7.8;59.29;28.99;68.67;52.87;3.31;5.45;4.69;15.45;36.77;20.08;28.55
1076;BRA;2014;49.56;2.33;40.26;116.94;7.73;62.92;30.19;73.25;55.44;3.23;5.63;4.71;15.96;39.03;21.08;29.82
1076;BRA;2015;47.91;2.2;39.13;113.57;6.97;60.86;28.81;71.38;53.85;3.1;5.35;4.46;15.29;37.9;20.45;28.89
1076;BRA;2016;51.33;2.24;41.39;122.6;7.12;65.51;30.36;76.19;56.79;3.05;5.25;4.45;16.01;40.25;21.58;30.33
1076;BRA;2017;55.29;2.51;43.75;130.45;7.94;69.9;30.13;82.03;59.1;3.18;5.62;4.69;15.97;43.15;22.88;31.59
1076;BRA;2018;47.28;2.2;37.61;121.69;7.65;60.42;26.17;71.72;51.66;2.8;5.2;4.26;13.86;37.82;19.75;27.8
1076;BRA;2019;34.91;1.7;27.9;93.01;6.03;45.76;20.85;56.19;40.13;2.48;4.17;3.5;11.16;29.22;14.67;21.65
1076;BRA;2020;39.17;1.77;30.95;96.1;6.27;51.61;21.31;60.65;44.35;2.47;4.3;3.54;11.54;32.21;16.05;23.54
1076;BRA;2021;37.56;1.75;29.82;91.24;5.79;49.04;19.89;58.01;42.11;2.44;4.33;3.53;10.81;30.97;15.48;22.42
